municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
Essex,0.1489509531450106,6.028278520230698,-0.0293419582840153,-3.725693427236653,-1.5174190137138484,-2.0964528875063726,-2.370978533922062,-1.2428438059876308,4.737690037765868,45.959,19.720093989610668,1957.2997658079623,2.139163626344389,1.5390605551165024,0.0248914441837692,2.4959100204498976,0.0002044989775051,0.5071574642126789
Everett,0.0,0.0,0.0,0.0,0.0,0.0,-2.5877640352277083,-3.0520696433588057,4.336798666730262,89.931,18.37249636732133,1914.506698187549,5.016597860205109,3.896215571731741,0.8940170322257394,0.0,0.0408071073633488,0.0373437735280831
Foxborough,92.78636918764012,6.54534966033442,-0.0607144246991677,-3.454307206976104,-1.4154509454113462,-2.0344901538175697,-4.32452214019369,-2.1537891783044474,4.58021911450382,95.693,20.078492906939356,1963.620368495647,3.0422470585085604,2.1855515303986373,0.1794323016002972,2.5,0.0,0.0076949982511367
Framingham,86.35750012364471,6.546785410760524,-0.1582240052148941,-2.833213344056216,-1.563178789052187,-1.7184716734582226,-2.5680525407120527,-1.7426373915743567,4.621839394019365,95.375,20.21579274387962,1953.5123519032013,3.589093339367893,2.652967277880007,0.159634202213633,2.99930735930736,0.0256277056277056,0.0
Franklin,0.0,7.1891677384203225,-0.0924463599255623,-3.755180533935176,-1.0070828317036908,-3.1638160476851733,-6.70196036600254,-0.6956072064008076,5.0539830016054665,95.296,20.3566450387513,1969.2450842696628,3.15815476648427,2.422532588245941,0.0875296102502797,3.0,0.0,0.0986561100114595
Gloucester,3.344654744593455,6.75110146893676,-0.0393610738805803,-4.26619481914876,-1.639113680580217,-1.899071205017143,-3.710270644095254,-1.9552125417176267,4.67436533509175,98.662,20.35712923047412,1937.9316179415296,4.212596651754343,3.1999554184081487,0.3472976834037276,0.0360873694207027,0.0,0.2037037037037037
Hamilton,0.0,5.537334267018537,-0.0483965408618502,-4.438721978350427,-1.3629469971228996,-2.359280436670591,-1.6276202315172907,-1.020650747198398,4.771800687478536,99.057,19.784635605232644,1950.0903092783503,3.3162212349389097,2.527998848126795,0.0953337207268481,3.0,0.0,0.116590348714336
Hanover,100.0,6.520621127558696,-0.0223389780822623,-4.728861658330641,-1.252762968495368,-2.189887787272365,-3.6749903419532695,-1.1729892588059687,4.88408692074296,97.733,19.820651282116277,1961.8262174013385,2.8593332113274808,1.9691516407217675,0.1066260601666992,3.0,0.0,0.0850930378423583
Hingham,0.0,5.831882477283517,-0.0419223063862633,-3.529297384289471,-1.3775351810300092,-1.672999393923845,-2.507886199860944,-1.4522912962765249,4.630594656379799,98.556,20.188621157582848,1940.6816686602872,4.006800942524384,3.348669623616805,0.2397439244393081,2.5120431893687707,0.0,0.003875968992248
Holbrook,0.0,6.728628613084702,-0.1775482780412969,-2.164280421616865,-1.4056186339462935,-2.0557997786227955,-6.028278520230698,-2.0964528875063726,4.660666591437606,90.348,19.07121891038115,1952.6038617253191,3.259178248001436,2.5736923786090857,0.1041077104079489,2.505079658277534,0.0,0.2539829138767028
