,municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
9,Boxborough,0.0,5.91350300563827,-0.16093036681263712,-3.20545280453606,-1.213022639845854,-2.1999309389339623,-3.938664936374567,-1.3775691482290207,4.84851761420978,91.205,19.40494481960097,1977.3569811320754,2.6580008132007586,1.5523362494382826,0.04739037345121032,2.965391621129326,0.004796599878567092,0.20461445051608987
10,Braintree,0.0,6.829793737512425,-0.12170965365935582,-3.2462747990563154,-1.8393611507336889,-1.593351774682476,-3.842609877578632,-1.9753428558424317,4.717015312852563,88.425,19.648150547532012,1943.0079112298367,3.9919170312575436,3.24672854117874,0.1815861137280176,0.0045762227095051955,0.0,0.06940604442749547
11,Brookline,69.4747089270653,6.680854678790215,-0.24630816000276187,-3.0699367661459904,-1.6374295618709684,-1.852540941487914,-3.6867495278561115,-1.279229541683531,4.892415801372859,96.62,18.88966643251698,1923.7797054418372,5.835351949609521,4.690947551759271,0.18129219959850998,0.0,0.7589693757361601,0.9270906949352179
12,Burlington,0.0,0.0,0.0,0.0,0.0,0.0,-2.2047717829716023,-1.9199346626520526,4.596854653631534,95.305,19.480043858071454,1967.0306213017752,3.5459808539330258,2.850649460330009,0.10908215082336323,0.0,0.006137084540063439,0.07378292649289753
13,Cambridge,0.0,6.025865973825314,-0.29576619085173994,-2.074622255243887,-2.1138429683971682,-0.8783714970118613,-2.793208009442517,-1.7015643900905006,4.608198800720399,97.324,18.82809277692277,1909.3750611246944,6.442151443545776,5.464472555276014,1.6144001252885054,0.015522875816993464,0.6868347338935574,0.13196389666977903
14,Canton,0.0,6.20050917404269,-0.28700616840441995,-1.9378292970013746,-1.1700712526502546,-2.026121904147053,-2.5952547069568657,-1.3078061804736076,4.746783397583583,92.07,20.02413228082349,1958.477053541736,3.6372115129621663,2.885435928309998,0.13155795307126475,0.0,0.0,0.00015165301789505612
15,Carlisle,0.0,5.942799375126701,-0.09636060006897669,-3.863357833446865,-1.442989704796436,-1.8652619312209815,-3.909915523088581,-0.8554179403083387,4.969387889378811,98.084,19.82709641787954,1968.8507462686566,2.081651846316853,1.3429413407123938,0.029439081146231724,0.0,0.0,0.1497005988023952
16,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,-2.4756042571256867,-1.8634261390994087,4.28035261557147,97.847,17.685545553163497,1916.812800404756,5.863165568368122,3.8854226630095634,1.2377114271112883,3.3114789337919173,0.11543422184006878,0.16573516766981944
17,Cohasset,0.0,6.522092798170152,-0.05129329438755058,-3.7495040759303713,-1.1330210683536515,-2.1400661634962708,-6.639875833826536,-1.5218820214097808,4.580221486945462,94.873,19.376568054141845,1943.8617424242425,3.5730575829089446,2.8613517069866052,0.11405514296604727,0.0,0.0,0.12710765239948119
18,Concord,0.0,5.973809611869261,-0.08216540004349016,-3.488902962081261,-1.3009807774073552,-1.7111297348279457,-5.602118820879701,-0.8314341964140362,4.905549089234279,98.212,20.31661849479178,1951.8855923986814,3.912476801349097,3.1404071625191694,0.20672738400582819,0.0,0.22004113195129973,0.5875287923659098
